group,label,scene,model,root_sift,delta_azimuth_deg,delta_elevation_deg,sun_elevation_src,ambiguity,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,reported_inlier_ratio,reported_fit_rmse,true_putative_precision,true_inlier_precision,true_inlier_recall,true_error_median,true_error_p90,transform_error_median,transform_error_p90,transform_error_max,confidence_gap,coverage_max_gap_ratio,coverage_occupancy,coverage_entropy,failure_mode,gen_s,detect_s,match_s,ransac_s,pipeline_s
A_model,truth=translation,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2941,3004,2520,2517,0.9988095238095238,0.11910052151609239,0.9988095238095238,1.0,1.0,0.027308049056435368,0.13565124709248289,0.004249954388242126,0.007819343282912058,0.009229285773117357,-0.0011904761904761862,0.04033569614856129,1.0,0.9952692999729774,none,4.997493700007908,0.12676050001755357,0.09583869995549321,0.050699800020083785,0.27329899999313056
A_model,truth=euclidean,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2941,2914,1863,1856,0.9962426194310252,0.6176476415634632,0.9957058507783145,0.9994612068965517,1.0,0.2836937073056822,0.859618861904431,0.24447698982700378,0.5450682094252639,0.8301531254341692,-0.003218587465526501,0.04917843090630536,1.0,0.9901683732485987,none,5.00732049997896,0.12110180000308901,0.0909313999582082,0.05046240007504821,0.2624956000363454
A_model,truth=similarity,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2941,2206,1400,1387,0.9907142857142858,0.7339771022150314,0.99,0.9992790194664743,1.0,0.3368305620895941,1.0392768405163306,0.33651957012703404,0.5567416721598916,0.7817357369764073,-0.00856473375218858,0.048984125796814264,1.0,0.9705513765635193,none,4.992536299978383,0.11323149991221726,0.0697791000129655,0.04798050003591925,0.230991099961102
A_model,truth=affine,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2941,2725,2033,2031,0.9990162321692081,0.6993656046440447,0.9985243482538121,0.999507631708518,1.0,0.16666561782889994,0.5592313466758835,0.49052154763460853,1.0922011946486356,1.6455902047780624,-0.000491399539309878,0.04404286048351438,1.0,0.9909029220738941,none,5.039856099989265,0.12222609994933009,0.08547180006280541,0.05062669992912561,0.2583245999412611
A_model,truth=projective,highlands,projective,True,0.0,0.0,45.0,0.0,1.0,2941,2813,2170,2169,0.9995391705069124,0.29262389588480586,0.9995391705069124,1.0,1.0,0.12752405236432898,0.4193400783721158,0.028844775404783717,0.03536834385991139,0.04506537548533057,-0.0004608294930875667,0.039257326645003476,1.0,0.9938175268507574,none,5.015884899999946,0.11731590004637837,0.0913979000179097,0.04796660004649311,0.2566804001107812
B_azimuth,d_az=0,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2941,2913,2023,2017,0.9970341077607514,0.4492081599608113,0.9970341077607514,1.0,1.0,0.21683099990215238,0.6892408429084074,0.05178681319931351,0.059598296940057,0.06219036840984378,-0.002965892239248591,0.04723979149393682,1.0,0.9929760017868805,none,5.057105100015178,0.11782990000210702,0.09321219997946173,0.05324719997588545,0.2642892999574542
B_azimuth,d_az=15,highlands,affine,True,15.0,0.0,45.0,0.0,1.0,2941,2921,1583,1562,0.9867340492735313,0.7138282993641204,0.9867340492735313,1.0,1.0,0.39152177402767663,1.1471336056331654,0.011503284029519435,0.02440880912524916,0.037156572746962734,-0.013265950726468745,0.04723979149393682,1.0,0.9906031212578731,none,5.0123480999609455,0.12142250000033528,0.09282929997425526,0.047774099977687,0.26202589995227754
B_azimuth,d_az=30,highlands,affine,True,30.0,0.0,45.0,0.0,1.0,2941,2941,160,134,0.8375,1.3598954620077868,0.825,0.9850746268656716,1.0,0.8212960190714383,1.7687153206219939,0.6534244658046857,1.0675913717011525,1.397819097603473,-0.14757462686567158,0.15954174220210462,0.78125,0.8892155224561713,none,5.044363799970597,0.12008669995702803,0.09269770001992583,0.0440336000174284,0.25681799999438226
B_azimuth,d_az=45,highlands,affine,True,45.0,0.0,45.0,0.0,1.0,2941,2817,30,4,0.13333333333333333,0.3399603044723328,0.03333333333333333,0.0,0.0,229.9965616300944,348.62409541184184,207.032462848597,323.6510173165478,446.38634323194384,0.13333333333333333,0.4099236691760812,0.0625,0.33333333333333337,no_model_found,5.001860599964857,0.11881609994452447,0.08892080001533031,1.0490353999193758,1.2567722998792306
B_azimuth,d_az=60,highlands,affine,True,60.0,0.0,45.0,0.0,1.0,2941,2882,23,3,0.13043478260869565,1.1832901233595593e-13,0.0,0.0,0.0,357.47138777658444,391.1974670383017,264.45375895522983,565.8969652705234,856.2409782481226,0.13043478260869565,0.44613624811248276,0.046875,0.26416041678685936,no_model_found,5.036163500044495,0.12252970004919916,0.0904484000056982,1.0987418999429792,1.3117199999978766
B_azimuth,d_az=90,highlands,affine,True,90.0,0.0,45.0,0.0,1.0,2941,2826,22,3,0.13636363636363635,5.684341886080802e-14,0.0,0.0,0.0,271.16806299361235,277.3830804388815,290.4014623403284,668.1397556497875,832.9225216615334,0.13636363636363635,0.5276059099515663,0.046875,0.26416041678685936,no_model_found,5.061489599989727,0.11914409999735653,0.08730509993620217,1.1975513000506908,1.4040004999842495
B_azimuth,d_az=135,highlands,affine,True,135.0,0.0,45.0,0.0,1.0,2941,2913,29,5,0.1724137931034483,0.7652121500525159,0.0,0.0,0.0,312.1510416619444,385.37417379931344,318.6863209351943,468.2561466076545,660.9278751756758,0.1724137931034483,0.38183968388507383,0.0625,0.3203213491478938,no_model_found,5.106956899981014,0.12121559993829578,0.09035910002421588,0.5082759000360966,0.7198505999986082
B_azimuth,d_az=180,highlands,affine,True,-180.0,0.0,45.0,0.0,1.0,2941,2888,24,4,0.16666666666666666,8.526512829121202e-14,0.0,0.0,0.0,102.20817951263747,341.42241516813056,528.5384039993933,1034.90417285972,1365.0181987773958,0.16666666666666666,0.5127408833913837,0.046875,0.25,no_model_found,4.950798799982294,0.12347130000125617,0.09063699992839247,0.5197566000279039,0.7338648999575526
B_elevation,d_el=-30,highlands,affine,True,0.0,-30.0,45.0,0.0,1.0,2941,2230,61,49,0.8032786885245902,1.360586206797673,0.7704918032786885,0.9591836734693877,1.0,0.9159848001038116,2.4290222206186263,0.8085300421671473,1.489235245861004,2.029106202695653,-0.15590498494479754,0.16803686845497998,0.46875,0.7797499298663879,none,5.109284000005573,0.11077919998206198,0.0715028999838978,0.04130669997539371,0.2235887999413535
B_elevation,d_el=-15,highlands,affine,True,0.0,-15.0,45.0,0.0,1.0,2941,2728,888,858,0.9662162162162162,0.9272864504407984,0.956081081081081,0.9895104895104895,1.0,0.5600274495726326,1.656250049330226,0.31377773111698126,0.34507327394968523,0.3610550368486661,-0.02329427329427325,0.07170921777611648,0.984375,0.9786032435802777,none,4.991258999914862,0.1184494000626728,0.0866455000359565,0.04607739998027682,0.2511723000789061
B_elevation,d_el=15,highlands,affine,True,0.0,15.0,45.0,0.0,1.0,2941,3623,1250,1237,0.9896,0.8996794713745668,0.9864,0.9967663702506063,1.0,0.4759415764115744,1.3952114435882934,0.2846651257361152,0.5794307059977236,0.8724856701301341,-0.007166370250606291,0.05899924791794224,1.0,0.9841307706798351,none,4.973666200065054,0.12511060002725571,0.11416819994337857,0.046111100004054606,0.2853898999746889
C_scale,scale=1.0,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2941,2936,2808,2808,1.0,0.04684180920775287,1.0,1.0,1.0,0.020181471867809747,0.06725730906506067,0.0020643297291383384,0.00404726495130851,0.005914139783288699,0.0,0.031158312760827766,1.0,0.99819398112628,none,5.004965099971741,0.12185650004539639,0.09286530001554638,0.051391600049100816,0.2661134001100436
C_scale,scale=1.25,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2941,1888,1437,1432,0.9965205288796103,0.20746961895572158,0.9965205288796103,1.0,1.0,0.12364913444087823,0.308021083691192,0.08501723333287434,0.09281560015635157,0.09496617265141068,-0.00347947112038971,0.05567262817866884,1.0,0.9975742254768525,none,4.9704087999416515,0.11110699991695583,0.06196810002438724,0.04637260001618415,0.21944769995752722
C_scale,scale=1.5,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2941,1333,978,974,0.9959100204498977,0.28632408756749,0.9959100204498977,1.0,1.0,0.2071086784050541,0.41106072880397654,0.17202415890615042,0.2046585810198944,0.21918486324573216,-0.004089979550102263,0.04200354134298157,1.0,0.9694475797876885,none,4.981647999957204,0.12630870006978512,0.04467079997994006,0.042121400008909404,0.21310090005863458
C_scale,scale=2.0,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2941,729,567,563,0.9929453262786596,0.24472583015676097,0.9929453262786596,1.0,1.0,0.3769743303772979,0.5304494192313778,0.350800676541545,0.36603063366719446,0.3760736319739534,-0.007054673721340388,0.04145504936873266,1.0,0.9918603663002028,none,4.959138100035489,0.09847030008677393,0.023665099986828864,0.04276250000111759,0.16489790007472038
C_scale,scale=3.0,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2941,340,224,221,0.9866071428571429,0.4657621849638091,0.9866071428571429,1.0,1.0,0.7502981065100418,1.0181777926329123,0.6916763230782925,0.8083986983165601,0.8748393539909232,-0.013392857142857095,0.03537259819584928,1.0,0.8342873317194238,none,4.986110099940561,0.0957357999868691,0.015330599970184267,0.041143500013276935,0.1522098999703303
C_scale,scale=4.0,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2941,196,146,142,0.9726027397260274,0.5923746373673642,0.952054794520548,0.9788732394366197,1.0,1.0802180477708294,1.4148091536851937,1.066823764631474,1.3557105723097198,1.560069872119499,-0.006270499710592348,0.030289184412638323,1.0,0.9973491302265914,none,4.997742800042033,0.09299009991809726,0.008723700069822371,0.040386400069110096,0.14210020005702972
D_scene,highlands/same_sun,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2941,2913,2023,2017,0.9970341077607514,0.4492081599608113,0.9970341077607514,1.0,1.0,0.21683099990215238,0.6892408429084074,0.05178681319931351,0.059598296940057,0.06219036840984378,-0.002965892239248591,0.04723979149393682,1.0,0.9929760017868805,none,5.015547799994238,0.12395530007779598,0.09298549999948591,0.04871840006671846,0.26565920014400035
D_scene,highlands/d_az=60,highlands,affine,True,60.0,0.0,45.0,0.0,1.0,2941,2882,23,3,0.13043478260869565,1.1832901233595593e-13,0.0,0.0,0.0,357.47138777658444,391.1974670383017,264.45375895522983,565.8969652705234,856.2409782481226,0.13043478260869565,0.44613624811248276,0.046875,0.26416041678685936,no_model_found,4.96418749995064,0.11868249997496605,0.09028459992259741,1.0935278000542894,1.3024948999518529
D_scene,mare/same_sun,mare,affine,True,0.0,0.0,45.0,0.0,1.0,1631,1597,1171,1169,0.9982920580700256,0.5521345190436654,0.9974380871050385,0.9991445680068435,1.0,0.21646404066116964,0.6753831425704169,0.24224679498572976,0.5557859186137026,0.8404679728345424,-0.0008525099368178468,0.05334570423338931,1.0,0.9888377682663608,none,4.977440500049852,0.09618869994301349,0.02897590002976358,0.047651899978518486,0.17281649995129555
D_scene,mare/d_az=60,mare,affine,True,60.0,0.0,45.0,0.0,1.0,1631,1569,5,3,0.6,9.568173158301911e-14,0.0,0.0,0.0,272.1244070572271,484.4530658338846,302.21605873529353,647.3715292821698,975.8645248183028,0.6,0.48370709053979816,0.046875,0.26416041678685936,too_few_putative_matches,4.946273100096732,0.09484999999403954,0.0278126000193879,0.03698710002936423,0.15964970004279166
D_scene,repetitive/same_sun,repetitive,affine,True,0.0,0.0,45.0,0.0,1.0,452,442,309,303,0.9805825242718447,0.49481183410443447,0.9805825242718447,1.0,1.0,0.27290734515915194,0.8527269309893222,0.16693095201696462,0.1820990601420588,0.18980109581167565,-0.01941747572815533,0.0929018437033225,0.96875,0.9674524903001007,none,4.986629600054584,0.07780060009099543,0.0032513000769540668,0.037308799917809665,0.11836070008575916
D_scene,repetitive/d_az=60,repetitive,affine,True,60.0,0.0,45.0,0.0,1.0,452,439,10,3,0.3,6.765720123802386e-14,0.0,0.0,0.0,234.52667035380145,299.4592697814556,189.71748873069419,300.95366138812864,424.58652179763453,0.3,0.5481030436068867,0.046875,0.26416041678685936,no_model_found,4.9597655000397936,0.07416039996314794,0.002909800037741661,0.08862129994668067,0.16569149994757026
D_scene,mixed/same_sun,mixed,affine,True,0.0,0.0,45.0,0.0,1.0,2048,2025,1441,1439,0.9986120749479528,0.7582548052157084,0.9958362248438585,0.9972202918693537,1.0,0.21370557814503754,0.6874849035350994,0.4822055979002684,1.0859155180670466,1.5081815917182633,0.001391783078599107,0.046895340638839725,1.0,0.985024202337632,none,4.976492100046016,0.10586210002657026,0.047106900019571185,0.04828129999805242,0.20125030004419386
D_scene,mixed/d_az=60,mixed,affine,True,60.0,0.0,45.0,0.0,1.0,2048,1961,16,4,0.25,1.2217369481461093,0.0,0.0,0.0,211.2878555697418,329.55259743852514,227.55740990252582,436.60740810616244,615.1940386152371,0.25,0.5768649830056978,0.046875,0.25,no_model_found,4.96358879993204,0.10046510002575815,0.042974799987860024,0.15570149989798665,0.2991413999116048
E_ambiguity,ambiguity=0.0,repetitive,affine,True,0.0,0.0,35.0,0.0,1.0,654,649,508,502,0.9881889763779528,0.12582762568253741,0.9881889763779528,1.0,1.0,0.059175706382178034,0.1959226378026729,0.011950603273601276,0.021415401670421545,0.029030380774830573,-0.011811023622047223,0.06207128352371368,1.0,0.988343261737376,none,4.9739503000164405,0.07847080007195473,0.005894999951124191,0.0392848999472335,0.12365069997031242
E_ambiguity,ambiguity=0.4,repetitive,affine,True,0.0,0.0,35.0,0.4,1.0,242,238,186,185,0.9946236559139785,0.12624360648075522,0.9946236559139785,1.0,1.0,0.040364739414683694,0.22117119240336053,0.013958357712871856,0.03191639450708731,0.04703073502656555,-0.005376344086021501,0.07525236269261126,1.0,0.975156291833446,none,4.953860100009479,0.06850489997304976,0.0018420000560581684,0.03874699992593378,0.1090938999550417
E_ambiguity,ambiguity=0.7,repetitive,affine,True,0.0,0.0,35.0,0.7,1.0,148,149,102,100,0.9803921568627451,0.07078550390531398,0.9803921568627451,1.0,1.0,0.021810308880462252,0.06654542436266757,0.010785960750075622,0.018790441262772548,0.022556975243605767,-0.019607843137254943,0.12927563080760085,0.9285714285714286,0.973534554985497,none,4.984209300018847,0.06572800001595169,0.0008235999848693609,0.03816179989371449,0.10471339989453554
E_ambiguity,ambiguity=0.9,repetitive,affine,True,0.0,0.0,35.0,0.9,1.0,181,177,123,114,0.926829268292683,0.0311847271590028,0.926829268292683,1.0,1.0,0.01881429116581998,0.03992695869044635,0.004881338863842751,0.006811880585654136,0.007330025934099523,-0.07317073170731703,0.13364999044627374,0.8392857142857143,0.9456811210132245,none,4.967615499976091,0.06777319998946041,0.0010254000080749393,0.038101500016637146,0.1069001000141725
E_ambiguity,ambiguity=1.0,repetitive,affine,True,0.0,0.0,35.0,1.0,1.0,190,190,40,7,0.175,0.027665648397706407,0.05,0.0,0.0,64.01528932437438,64.03254283298294,64.00812937712567,64.01233523840673,64.01486132480034,0.175,0.37937159327779507,0.07142857142857142,0.33094724202019393,no_model_found,4.975581899983808,0.07140230003278702,0.000970599940046668,0.4534124000929296,0.5257853000657633
F_low_sun,elevation=10.0,highlands,affine,True,45.0,0.0,10.0,0.0,1.0,1830,1778,74,6,0.08108108108108109,6.563712636189231e-14,0.0,0.0,0.0,394.82216152472597,459.4576369095189,435.17742017049795,717.2174258530503,846.6416844136098,0.08108108108108109,0.6707157513735793,0.046875,0.26416041678685936,no_model_found,4.948889999999665,0.09804019995499402,0.03700130002107471,3.5050071999430656,3.6400486999191344
F_low_sun,elevation=20.0,highlands,affine,True,45.0,0.0,20.0,0.0,1.0,2440,2430,43,4,0.09302325581395349,3.00787099952753e-13,0.023255813953488372,0.0,0.0,297.4982849375806,371.4102921142708,798.1022178154803,1705.0304210432232,2497.454832120753,0.09302325581395349,0.5737086515133697,0.046875,0.25,no_model_found,4.938393300049938,0.1210997001035139,0.06310490006580949,2.961995800025761,3.1462004001950845
F_low_sun,elevation=35.0,highlands,affine,True,45.0,0.0,35.0,0.0,1.0,2750,2729,25,4,0.16,1.0840565813633218,0.0,0.0,0.0,333.92211908947195,416.25795421905434,275.65893620227223,501.11868048828967,688.4559524528278,0.16,0.49000087815809384,0.0625,0.33333333333333337,no_model_found,4.921383400098421,0.12006290000863373,0.08145139995031059,0.6232969000702724,0.8248112000292167
F_low_sun,elevation=60.0,highlands,affine,True,45.0,0.0,60.0,0.0,1.0,3579,3561,36,6,0.16666666666666666,0.33678347524553137,0.16666666666666666,1.0,1.0,0.5399316836535195,0.6061765893221194,0.4052220202542025,0.6579162604552072,0.8243499157704056,-0.8333333333333334,0.3396781430188386,0.078125,0.37527152789797047,no_model_found,4.927966400049627,0.13433920009993017,0.13720069988630712,0.5135929000098258,0.7851327999960631
G_rootsift,root_sift=True/d_az=0,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2941,2913,2023,2017,0.9970341077607514,0.4492081599608113,0.9970341077607514,1.0,1.0,0.21683099990215238,0.6892408429084074,0.05178681319931351,0.059598296940057,0.06219036840984378,-0.002965892239248591,0.04723979149393682,1.0,0.9929760017868805,none,4.991575199994259,0.11884150002151728,0.09202449989970773,0.05022670002654195,0.26109269994776696
G_rootsift,root_sift=True/d_az=45,highlands,affine,True,45.0,0.0,45.0,0.0,1.0,2941,2817,30,4,0.13333333333333333,0.3399603044723328,0.03333333333333333,0.0,0.0,229.9965616300944,348.62409541184184,207.032462848597,323.6510173165478,446.38634323194384,0.13333333333333333,0.4099236691760812,0.0625,0.33333333333333337,no_model_found,4.961252999957651,0.11781890003476292,0.08855220000259578,1.0039854999631643,1.210356600000523
G_rootsift,root_sift=True/d_az=90,highlands,affine,True,90.0,0.0,45.0,0.0,1.0,2941,2826,22,3,0.13636363636363635,5.684341886080802e-14,0.0,0.0,0.0,271.16806299361235,277.3830804388815,290.4014623403284,668.1397556497875,832.9225216615334,0.13636363636363635,0.5276059099515663,0.046875,0.26416041678685936,no_model_found,4.985580899985507,0.11776990001089871,0.0884556999662891,0.9473092999542132,1.153534899931401
G_rootsift,root_sift=False/d_az=0,highlands,affine,False,0.0,0.0,45.0,0.0,1.0,2941,2913,2026,2016,0.9950641658440277,0.442743738838824,0.9950641658440277,1.0,1.0,0.2154343529617857,0.6820965666754628,0.046824019349701484,0.056340456118912835,0.059515303414331144,-0.0049358341559723184,0.05463515910429439,1.0,0.9937819100472705,none,4.9779030999634415,0.11465699994005263,0.08976230002008379,0.0469370000064373,0.2513562999665737
G_rootsift,root_sift=False/d_az=45,highlands,affine,False,45.0,0.0,45.0,0.0,1.0,2941,2817,39,4,0.10256410256410256,0.6374655152750639,0.07692307692307693,0.0,0.0,229.29829285772388,491.6339721534932,336.5626979039313,733.8667009075258,1114.058765661106,0.10256410256410256,0.49149140073562864,0.0625,0.33333333333333337,no_model_found,4.982881400035694,0.11339610000140965,0.08749509998597205,2.239143699989654,2.440034899977036
G_rootsift,root_sift=False/d_az=90,highlands,affine,False,90.0,0.0,45.0,0.0,1.0,2941,2826,35,4,0.11428571428571428,0.2897028424521778,0.0,0.0,0.0,275.6780215241189,386.13792641594614,262.6380027580742,521.672249310094,778.462645846754,0.11428571428571428,0.4285184736687446,0.0625,0.33333333333333337,no_model_found,4.966757300077006,0.11762400006409734,0.08751149999443442,1.6309415999567136,1.8360771000152454
