group,label,scene,model,root_sift,delta_azimuth_deg,delta_elevation_deg,sun_elevation_src,ambiguity,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,reported_inlier_ratio,reported_fit_rmse,true_putative_precision,true_inlier_precision,true_inlier_recall,true_error_median,true_error_p90,transform_error_median,transform_error_p90,transform_error_max,confidence_gap,coverage_max_gap_ratio,coverage_occupancy,coverage_entropy,failure_mode,gen_s,detect_s,match_s,ransac_s,pipeline_s
A_model,truth=translation,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2890,2914,2454,2454,1.0,0.16234316852622274,1.0,1.0,1.0,0.02747800953318249,0.1424966658441356,0.008528716337148797,0.018290623248878278,0.022192566204690522,0.0,0.04590882528727796,1.0,0.9925550617445672,none,4.989274999941699,0.12386699998751283,0.0897726999828592,0.1576442999066785,0.3712839998770505
A_model,truth=euclidean,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2890,2883,1875,1863,0.9936,0.5379562656112457,0.9936,1.0,1.0,0.27471001927066485,0.7990828424621731,0.03318034504488414,0.06374379918326106,0.07741429480644861,-0.006399999999999961,0.04336641271713773,1.0,0.9888300300560303,none,4.9589332999894395,0.11659869994036853,0.08905419998336583,0.21951970004010946,0.4251725999638438
A_model,truth=similarity,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2890,2205,1452,1443,0.993801652892562,0.7337640904253182,0.990358126721763,0.9965349965349966,1.0,0.3433514288937486,1.0032810430825927,0.3855255251154695,0.7008803879430524,0.9148703467742832,-0.0027333436424346047,0.03957187419795861,1.0,0.9693639901099256,none,4.965409799944609,0.10968260001391172,0.06696070008911192,0.1684589000651613,0.34510220016818494
A_model,truth=affine,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2890,2735,2003,1997,0.9970044932601099,0.43496355563690653,0.9965052421367948,0.99949924887331,1.0,0.16078219687148423,0.4795503517196483,0.24807356355109378,0.4422974069442447,0.5244039915131131,-0.002494755613200117,0.041432037960149264,1.0,0.988974267263189,none,5.054609899991192,0.12423339998349547,0.08600789995398372,0.19605510006658733,0.4062964000040665
A_model,truth=projective,highlands,projective,True,0.0,0.0,45.0,0.0,1.0,2890,2732,2115,2112,0.9985815602836879,0.29515410923457713,0.9985815602836879,1.0,1.0,0.12732854845659825,0.39291940026401745,0.019201499454228936,0.032186729004094944,0.04893659637683751,-0.0014184397163120588,0.04958399326088321,1.0,0.9927090759460531,none,5.043342699995264,0.11577849998138845,0.08521399996243417,58.856441400013864,59.05743389995769
B_azimuth,d_az=0,highlands,affine,True,0.0,0.0,45.0,0.0,1.0,2890,2856,2027,2023,0.9980266403552047,0.6158559792272245,0.9970399605328071,0.9990113692535838,1.0,0.21011381195864043,0.6616668046447794,0.35897706894387194,0.5559886326121256,0.6749583156985446,-0.0009847288983790836,0.047037478823407405,1.0,0.9899381566029432,none,4.9629102000035346,0.11714260000735521,0.08979719993658364,0.1903483000351116,0.39728809997905046
B_azimuth,d_az=15,highlands,affine,True,15.0,0.0,45.0,0.0,1.0,2890,2910,1571,1562,0.9942711648631445,0.747852878713122,0.9929980903882877,0.998719590268886,1.0,0.3861133917855774,1.1340798984090765,0.20766260396007463,0.48276697118001893,0.6850227497843984,-0.0044484254057415296,0.05081879621585034,1.0,0.9904778706568244,none,4.984759400016628,0.11632470006588846,0.09338119998574257,0.2051520999521017,0.41485800000373274
B_azimuth,d_az=30,highlands,affine,True,30.0,0.0,45.0,0.0,1.0,2890,2902,179,147,0.8212290502793296,1.3373884754434069,0.8044692737430168,0.9795918367346939,1.0,0.8420812064433163,2.24229654648018,0.28952258777418566,0.5785577992999094,0.8411187092480087,-0.15836278645536428,0.15408658533840638,0.859375,0.9243798228831556,none,4.9534178000176325,0.11847389989998192,0.08852240000851452,0.1196749999653548,0.32667129987385124
B_azimuth,d_az=45,highlands,affine,True,45.0,0.0,45.0,0.0,1.0,2890,2864,28,4,0.14285714285714285,5.684341886080802e-14,0.03571428571428571,0.0,0.0,194.7280046476083,262.2666775424579,325.5913531546458,677.0017385928815,974.3911662072315,0.14285714285714285,0.446040044381002,0.046875,0.25,no_model_found,4.927842400036752,0.12010180007200688,0.09116499999072403,0.9619978999253362,1.1732646999880672
B_azimuth,d_az=60,highlands,affine,True,60.0,0.0,45.0,0.0,1.0,2890,2823,22,4,0.18181818181818182,0.681209747987249,0.0,0.0,0.0,211.80890790499024,243.64068900280026,210.9958175376279,323.42230746287294,407.7105536210057,0.18181818181818182,0.41311248621838,0.0625,0.33333333333333337,no_model_found,4.9758082999615,0.11452920001465827,0.0864473000401631,0.3932041999651119,0.5941807000199333
