label,regime,seed,transform_kind,fit_model,scale,delta_azimuth,delta_elevation,sun_elevation,ambiguity,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,inlier_ratio,fit_rmse,held_out_median,held_out_p90,held_out_ok,split_consistency,coverage_max_gap,coverage_occupancy,coverage_entropy,true_inlier_precision,true_putative_precision,transform_error_median,transform_error_p90,is_wrong,gen_s,pipeline_s,ransac_s
d_az=0,A_mare_moderate,1001,similarity,affine,1.0,0.0,0.0,45.0,0.0,1.0,20,16,11,10,0.9090909090909091,0.36210081454004006,0.3102523258685019,1.0224214440120478,True,0.4361363415754891,0.2585873247355502,0.12698412698412698,0.4888390927451272,1.0,0.9090909090909091,0.3410325180614484,0.4064722834617566,False,1.0898622999666259,0.10563300002831966,0.04945610009599477
d_az=15,A_mare_moderate,1001,similarity,affine,1.0,15.0,0.0,45.0,0.0,1.0,20,23,11,11,1.0,0.7050344264231091,0.9559137072700918,2.0474767400261937,True,1.035455415131746,0.5314350678463039,0.125,0.4742251561037395,1.0,1.0,0.7005568282715136,1.5570660851469498,False,0.2003515000687912,0.09817930008284748,0.04172919993288815
d_az=30,A_mare_moderate,1001,similarity,affine,1.0,30.0,0.0,45.0,0.0,1.0,20,29,3,3,1.0,2.745797994178065e-13,inf,inf,False,inf,0.5491550930194823,0.046875,0.26416041678685936,0.6666666666666666,0.6666666666666666,413.21877240179424,932.533837307346,True,0.20059950009454042,0.09460000006947666,0.042306399904191494
d_az=45,A_mare_moderate,1001,similarity,affine,1.0,45.0,0.0,45.0,0.0,1.0,20,24,1,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.19966919999569654,0.0581864999840036,4.229997284710407e-05
d_az=60,A_mare_moderate,1001,similarity,affine,1.0,60.0,0.0,45.0,0.0,1.0,20,20,1,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.22956340003293008,0.06103350000921637,4.2199972085654736e-05
d_az=90,A_mare_moderate,1001,similarity,affine,1.0,90.0,0.0,45.0,0.0,1.0,20,18,1,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.2083353999769315,0.054458500002510846,3.560003824532032e-05
scale=1.0,A_mare_moderate,1001,similarity,affine,1.0,0.0,0.0,45.0,0.0,1.0,20,21,19,19,1.0,0.21392355975256103,0.09514977040884665,0.23133461993028348,True,0.253762807932638,0.26115130753137583,0.21875,0.6027247610125276,1.0,1.0,0.0580304454687417,0.07439477997354224,False,0.20130930002778769,0.09749159996863455,0.04171450005378574
scale=2.0,A_mare_moderate,1001,similarity,affine,2.0,0.0,0.0,45.0,0.0,1.0,20,2,2,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,1.0,inf,inf,True,0.2416321000782773,0.061373400036245584,4.099996294826269e-05
scale=4.0,A_mare_moderate,1001,similarity,affine,4.0,0.0,0.0,45.0,0.0,1.0,20,0,0,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,nan,nan,nan,nan,True,0.26907490007579327,0.056820200057700276,5.580007564276457e-05
d_az=0,A_mare_moderate,1002,similarity,affine,1.0,0.0,0.0,45.0,0.0,1.0,22,19,16,16,1.0,0.380853101042506,0.24155767230151598,0.7171770166548697,True,0.513721566827836,0.37526213349711374,0.15625,0.5338032551857972,1.0,1.0,0.2573260537144598,0.530478785670537,False,1.1241024999180809,0.09974979993421584,0.041774599929340184
d_az=15,A_mare_moderate,1002,similarity,affine,1.0,15.0,0.0,45.0,0.0,1.0,22,19,9,9,1.0,0.7276478986174151,0.6030378411218077,1.6224693407976012,True,7.405378410574485,0.3953018636030642,0.109375,0.45424675949964477,0.8888888888888888,0.8888888888888888,1.7556872927689549,4.033257587853953,False,0.2271636000368744,0.0976266999496147,0.04294439998921007
d_az=30,A_mare_moderate,1002,similarity,affine,1.0,30.0,0.0,45.0,0.0,1.0,22,15,1,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,1.0,inf,inf,True,0.2219353000400588,0.05231369996909052,4.1899969801306725e-05
d_az=45,A_mare_moderate,1002,similarity,affine,1.0,45.0,0.0,45.0,0.0,1.0,22,15,0,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,nan,nan,nan,nan,True,0.22092350001912564,0.05953619990032166,3.6199926398694515e-05
d_az=60,A_mare_moderate,1002,similarity,affine,1.0,60.0,0.0,45.0,0.0,1.0,22,26,0,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,nan,nan,nan,nan,True,0.22453499992843717,0.05479439999908209,3.250001464039087e-05
d_az=90,A_mare_moderate,1002,similarity,affine,1.0,90.0,0.0,45.0,0.0,1.0,22,18,0,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,nan,nan,nan,nan,True,0.2445058999583125,0.05929490004200488,3.7100049667060375e-05
scale=1.0,A_mare_moderate,1002,similarity,affine,1.0,0.0,0.0,45.0,0.0,1.0,22,23,21,21,1.0,0.11126078285861535,0.10303475105527034,0.2586920751689033,True,0.1839348062594427,0.38768424299373455,0.203125,0.599077606160242,1.0,1.0,0.07159618504098786,0.13511956194757746,False,0.22225929994601756,0.09911720000673085,0.04297810001298785
scale=2.0,A_mare_moderate,1002,similarity,affine,2.0,0.0,0.0,45.0,0.0,1.0,22,8,5,5,1.0,0.06372362213957403,0.10468120653781851,0.18842617176802784,True,inf,0.26062491673326676,0.25,0.4804820237218406,1.0,1.0,0.7462028800298937,1.4365339136308986,False,0.2553433000575751,0.09131170006003231,0.033316200016997755
scale=4.0,A_mare_moderate,1002,similarity,affine,4.0,0.0,0.0,45.0,0.0,1.0,22,1,1,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.29664029995910823,0.05726980010513216,3.800005652010441e-05
d_az=0,A_mare_moderate,1003,similarity,affine,1.0,0.0,0.0,45.0,0.0,1.0,21,19,13,13,1.0,0.5570881420492317,0.6740788122932762,0.9254512510090985,True,1.5101607819303036,0.3619135881843897,0.125,0.46289379917736156,1.0,1.0,0.20534499989846994,0.34759872490952537,False,1.0834954000310972,0.09499030001461506,0.038556699990294874
d_az=15,A_mare_moderate,1003,similarity,affine,1.0,15.0,0.0,45.0,0.0,1.0,21,15,3,3,1.0,6.139790967464725e-14,inf,inf,False,inf,0.37735264611666636,0.05357142857142857,0.27292330535905795,1.0,1.0,0.6007392594753511,1.4006589482239544,False,0.21032509999349713,0.0983364999992773,0.04514439997728914
d_az=30,A_mare_moderate,1003,similarity,affine,1.0,30.0,0.0,45.0,0.0,1.0,21,20,3,3,1.0,9.568173158301911e-14,inf,inf,False,inf,0.43820085851640445,0.046875,0.26416041678685936,0.6666666666666666,0.6666666666666666,278.9868851308879,618.225574671936,True,0.2072207999881357,0.1064758999273181,0.04409829992800951
d_az=45,A_mare_moderate,1003,similarity,affine,1.0,45.0,0.0,45.0,0.0,1.0,21,20,1,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.19962470000609756,0.0558477999875322,3.4100026823580265e-05
