label,regime,seed,transform_kind,fit_model,scale,delta_azimuth,delta_elevation,sun_elevation,ambiguity,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,inlier_ratio,fit_rmse,held_out_median,held_out_p90,held_out_ok,split_consistency,coverage_max_gap,coverage_occupancy,coverage_entropy,true_inlier_precision,true_putative_precision,transform_error_median,transform_error_p90,is_wrong,gen_s,pipeline_s,ransac_s,split
similarity/d_az=0,A_mare_moderate,1001,similarity,similarity,1.0,0.0,0.0,45.0,0.0,1.0,20,16,11,10,0.9090909090909091,0.3660574485512943,0.28247452822418306,0.5638345025999234,True,0.1237468032298343,0.2585873247355502,0.12698412698412698,0.4888390927451272,1.0,0.9090909090909091,0.3257907173004329,0.3755307844256327,False,1.4573072999482974,0.12718759989365935,0.03761080000549555,calibration
affine/d_az=0,A_mare_moderate,1001,affine,affine,1.0,0.0,0.0,45.0,0.0,1.0,20,17,13,12,0.9230769230769231,0.4005234273583825,0.339792190018637,0.8003347029141344,True,0.6125039733469573,0.2585873247355502,0.140625,0.5036758681457001,1.0,0.9230769230769231,0.34579782577381546,0.7289582088218444,False,0.22654659999534488,0.10374429996591061,0.04594280000310391,calibration
projective/d_az=0,A_mare_moderate,1001,projective,projective,1.0,0.0,0.0,45.0,0.0,1.0,20,17,12,4,0.3333333333333333,0.808243313446064,inf,inf,False,inf,0.5151578797407915,0.06349206349206349,0.3346003576203483,1.0,0.8333333333333334,171.79427942412576,319.9666614847798,True,0.20028730004560202,0.27636639995034784,0.21918490005191416,calibration
similarity/d_az=20,A_mare_moderate,1001,similarity,similarity,1.0,20.0,0.0,45.0,0.0,1.0,20,19,8,7,0.875,2.033638655675054,1.7593540122278983,3.633664636032397,True,3.9384661456747994,0.4707134803206252,0.1016949152542373,0.42865776746676304,0.8571428571428571,0.875,2.5298705561000143,4.0148236823118495,False,0.2056893000844866,0.09353160008322448,0.03807020001113415,calibration
affine/d_az=20,A_mare_moderate,1001,affine,affine,1.0,20.0,0.0,45.0,0.0,1.0,20,23,8,7,0.875,0.6387652068033746,2.6013247082090594,3.6510089276427555,True,inf,0.4828359565948903,0.1,0.42689814472237453,1.0,1.0,1.839243038707687,2.3660970947143856,False,0.19918230001349002,0.09522739995736629,0.03982750000432134,calibration
projective/d_az=20,A_mare_moderate,1001,projective,projective,1.0,20.0,0.0,45.0,0.0,1.0,20,18,7,4,0.5714285714285714,1.3253681955180023,inf,inf,False,inf,0.6022160050625293,0.06666666666666667,0.33858761519756286,1.0,1.0,637.2344772916083,1586.8717644798448,True,0.1999173000222072,0.09572820004541427,0.041066600009799004,calibration
similarity/d_az=40,A_mare_moderate,1001,similarity,similarity,1.0,40.0,0.0,45.0,0.0,1.0,20,23,3,2,0.6666666666666666,9.209686451197087e-14,inf,inf,False,inf,0.5310073996724947,0.03225806451612903,0.16794877895704194,1.0,0.6666666666666666,2.820139817546769,4.5689815439884764,False,0.2197869000956416,0.10060180013533682,0.03563139995094389,calibration
affine/d_az=40,A_mare_moderate,1001,affine,affine,1.0,40.0,0.0,45.0,0.0,1.0,20,23,2,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,1.0,inf,inf,True,0.21198670007288456,0.05640040000434965,3.3800024539232254e-05,calibration
projective/d_az=40,A_mare_moderate,1001,projective,projective,1.0,40.0,0.0,45.0,0.0,1.0,20,23,3,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.6666666666666666,inf,inf,True,0.21181969996541739,0.056179100065492094,3.9199949242174625e-05,calibration
similarity/d_az=60,A_mare_moderate,1001,similarity,similarity,1.0,60.0,0.0,45.0,0.0,1.0,20,20,1,0,0.0,nan,inf,inf,False,inf,1.0,0.0,0.0,0.0,0.0,inf,inf,True,0.19938969996292144,0.05578830000013113,3.800005652010441e-05,calibration
