kind,seed,n_points,held_out_median,held_out_p90,held_out_ok,split_consistency,true_transform_error,is_wrong,part,split
correct,1029,300,0.47851572094413464,0.8606931742416705,True,0.17073656227442346,0.0,False,A,calibration
correct_noisy,1060,300,1.4126251787151465,2.5587806364590957,True,0.5569809326936628,0.0,False,A,calibration
clustered_correct,1072,300,0.4890089780324808,0.9334197073760929,True,0.47639601186732017,0.0,False,A,calibration
lattice_shift,1081,300,0.4735107982445785,0.8929918290059738,True,0.14859806999474182,64.0,True,A,calibration
repeated_texture,1010,193,0.48103634998008665,0.8606281286456166,True,0.20302516161782916,64.0,True,A,calibration
coherent_affine,1070,300,0.45835290604055084,0.865370419118133,True,0.12959968316328346,52.70999014376441,True,A,calibration
partial_overlap,1022,300,0.4610515296098485,0.8609610778917112,True,0.573171451738767,21.142121256222413,True,A,calibration
low_inlier_degenerate,1077,4,inf,inf,False,inf,319.67212603659823,True,A,calibration
correct,1046,300,0.4596346843387085,0.826963532385386,True,0.13133331598388087,0.0,False,A,calibration
correct_noisy,1077,300,1.420616884180444,2.5257060098157935,True,0.7247838681484353,0.0,False,A,calibration
clustered_correct,1089,300,0.4527680439642662,0.8504906184619168,True,0.10542619062777839,0.0,False,A,calibration
lattice_shift,1098,300,0.46049146148746023,0.8632558224427774,True,0.21856503478701994,64.0,True,A,calibration
repeated_texture,1027,187,0.45094406617573096,0.8716485057912194,True,0.13426852260546707,64.0,True,A,calibration
coherent_affine,1087,300,0.49630093922623963,0.9013416049143109,True,0.1618394470250139,52.70999014376441,True,A,calibration
partial_overlap,1039,300,0.458439671215241,0.8511417438727634,True,0.8870103404698018,21.142121256222413,True,A,calibration
low_inlier_degenerate,1094,4,inf,inf,False,inf,272.9513065188079,True,A,calibration
correct,1063,300,0.48111911970039856,0.8313323284484544,True,0.15897711481665933,0.0,False,A,calibration
correct_noisy,1094,300,1.4582305984998134,2.742407357823766,True,0.4918373948117851,0.0,False,A,calibration
clustered_correct,1106,300,0.5131982354596312,0.9200643487155269,True,0.3480045343008198,0.0,False,A,calibration
lattice_shift,1115,300,0.4643989805073472,0.8503626119743968,True,0.2455376008901181,64.0,True,A,calibration
repeated_texture,1044,194,0.4760282157576561,0.8235017753074172,True,0.16535753922561192,64.0,True,A,calibration
coherent_affine,1104,300,0.48213372797001297,0.8291009114954859,True,0.25746298126594447,52.70999014376441,True,A,calibration
partial_overlap,1056,300,0.4945487189648873,0.8661526526366218,True,0.6886440649457528,21.142121256222413,True,A,calibration
low_inlier_degenerate,1111,4,inf,inf,False,inf,319.5564780447263,True,A,calibration
correct,1080,300,0.4571388339677077,0.8438945079357542,True,0.09551352662964788,0.0,False,A,calibration
correct_noisy,1111,300,1.536917158758922,2.5448281889930056,True,0.7254501683659949,0.0,False,A,calibration
clustered_correct,1123,300,0.4695212012803983,0.8628385775177768,True,0.31854504506030734,0.0,False,A,calibration
lattice_shift,1132,300,0.4886047793125342,0.90830982846695,True,0.11158997749496996,64.0,True,A,calibration
repeated_texture,1061,219,0.5173620440095102,0.8893109097942447,True,0.17078701991955408,64.0,True,A,calibration
coherent_affine,1121,300,0.4819129637356114,0.829480237707777,True,0.12100337448951148,52.70999014376441,True,A,calibration
partial_overlap,1073,300,0.4762485235624889,0.8641730165594267,True,0.44251479955309436,21.142121256222413,True,A,calibration
low_inlier_degenerate,1128,4,inf,inf,False,inf,440.2340159161134,True,A,calibration
correct,1097,300,0.45731820274099133,0.8764757975007874,True,0.28440020198835814,0.0,False,A,calibration
correct_noisy,1128,300,1.3200804756630433,2.541159298717554,True,0.27700887645845235,0.0,False,A,calibration
clustered_correct,1140,300,0.47400821502353707,0.8477487880910868,True,0.21756001701592836,0.0,False,A,calibration
lattice_shift,1149,300,0.4675749797319192,0.8368771515223982,True,0.23916509733942082,64.0,True,A,calibration
repeated_texture,1078,194,0.5048267904575816,0.8935601258207636,True,0.1376744339065069,64.0,True,A,calibration
coherent_affine,1138,300,0.4796525753491301,0.8419461638358147,True,0.12216895567619658,52.70999014376441,True,A,calibration
partial_overlap,1090,300,0.48116114935912724,0.8828488728711259,True,0.7196399907167028,21.142121256222413,True,A,calibration
low_inlier_degenerate,1145,4,inf,inf,False,inf,206.26093375966104,True,A,calibration
correct,1114,300,0.4933417594992049,0.8587054570075249,True,0.20365843837794703,0.0,False,A,calibration
correct_noisy,1145,300,1.4355442317625315,2.4986565017391813,True,0.4681245763943217,0.0,False,A,calibration
clustered_correct,1157,300,0.45567236548229767,0.8251245882835089,True,0.4605930287465635,0.0,False,A,calibration
lattice_shift,1166,300,0.4700614601877559,0.898930214690797,True,0.09471317803279326,64.0,True,A,calibration
repeated_texture,1095,190,0.4641216226612819,0.9293989292033275,True,0.22021064966463835,64.0,True,A,calibration
coherent_affine,1155,300,0.4964425681789918,0.8581330019005232,True,0.12895421075565106,52.70999014376441,True,A,calibration
partial_overlap,1107,300,0.4572487981589015,0.853822039336336,True,0.3200536931550769,21.142121256222413,True,A,calibration
low_inlier_degenerate,1162,4,inf,inf,False,inf,246.30679322404524,True,A,calibration
correct,1131,300,0.46042058025208854,0.8565764871957836,True,0.12405672312493338,0.0,False,A,calibration
correct_noisy,1162,300,1.389820492325336,2.561447712068403,True,0.4730069933166962,0.0,False,A,calibration
clustered_correct,1174,300,0.445361764536261,0.8745246774833587,True,0.4707756257512148,0.0,False,A,calibration
lattice_shift,1183,300,0.4608166147938547,0.8363136014725919,True,0.09520977311530629,64.0,True,A,calibration
repeated_texture,1112,197,0.4934566163451506,0.8816050560379773,True,0.20201201370645566,64.0,True,A,calibration
coherent_affine,1172,300,0.5047237875909484,0.8957065505504113,True,0.2098863155754665,52.70999014376441,True,A,calibration
partial_overlap,1124,300,0.47618749846821606,0.8783950187073268,True,0.9245501681742723,21.142121256222413,True,A,calibration
low_inlier_degenerate,1179,4,inf,inf,False,inf,514.9009505651597,True,A,calibration
correct,1148,300,0.460352317878434,0.8140238394072744,True,0.07676131207521919,0.0,False,A,calibration
