kind,seed,cycle_error,loop_error,true_transform_error,is_wrong,part,split
correct,1001,0.19976185223581117,0.542737038366087,0.2826069422970336,False,B,calibration
lattice_all_edges,1001,0.0,190.07904237102366,64.0,True,B,calibration
lattice_one_edge,1001,0.0,62.74509803921568,64.0,True,B,calibration
symmetric_wrong,1001,0.0,62.74509803921568,64.0,True,B,calibration
correct,1014,0.44958174666565354,0.694383799866534,0.28601475839409696,False,B,calibration
lattice_all_edges,1014,0.0,190.07904237102366,64.0,True,B,calibration
lattice_one_edge,1014,0.0,62.74509803921568,64.0,True,B,calibration
symmetric_wrong,1014,0.0,62.74509803921568,64.0,True,B,calibration
correct,1027,0.6426970355669632,0.6443684339893601,0.23026262790738436,False,B,calibration
lattice_all_edges,1027,0.0,190.07904237102366,64.0,True,B,calibration
lattice_one_edge,1027,0.0,62.74509803921568,64.0,True,B,calibration
symmetric_wrong,1027,0.0,62.74509803921568,64.0,True,B,calibration
correct,1040,0.4149531127405757,0.9660196150735334,0.23681449076800445,False,B,calibration
lattice_all_edges,1040,0.0,190.07904237102366,64.0,True,B,calibration
lattice_one_edge,1040,0.0,62.74509803921568,64.0,True,B,calibration
symmetric_wrong,1040,0.0,62.74509803921568,64.0,True,B,calibration
correct,1053,0.47320128580435394,0.6418433708544469,0.30589475367389823,False,B,calibration
lattice_all_edges,1053,0.0,190.07904237102366,64.0,True,B,calibration
lattice_one_edge,1053,0.0,62.74509803921568,64.0,True,B,calibration
symmetric_wrong,1053,0.0,62.74509803921568,64.0,True,B,calibration
correct,1066,0.2700796756241646,0.17092962186086114,0.21873480953020108,False,B,calibration
lattice_all_edges,1066,0.0,190.07904237102366,64.0,True,B,calibration
lattice_one_edge,1066,0.0,62.74509803921568,64.0,True,B,calibration
symmetric_wrong,1066,0.0,62.74509803921568,64.0,True,B,calibration
correct,1079,0.4313915899076275,0.5953566226033392,0.6515334011487187,False,B,calibration
lattice_all_edges,1079,0.0,190.07904237102366,64.0,True,B,calibration
lattice_one_edge,1079,0.0,62.74509803921568,64.0,True,B,calibration
symmetric_wrong,1079,0.0,62.74509803921568,64.0,True,B,calibration
correct,1092,0.6000455973315524,0.21811209393688574,0.044414846463857696,False,B,calibration
lattice_all_edges,1092,0.0,190.07904237102366,64.0,True,B,calibration
lattice_one_edge,1092,0.0,62.74509803921568,64.0,True,B,calibration
symmetric_wrong,1092,0.0,62.74509803921568,64.0,True,B,calibration
correct,1105,0.09624130961452662,0.2829588087726121,0.15338281860856362,False,B,calibration
lattice_all_edges,1105,0.0,190.07904237102366,64.0,True,B,calibration
lattice_one_edge,1105,0.0,62.74509803921568,64.0,True,B,calibration
symmetric_wrong,1105,0.0,62.74509803921568,64.0,True,B,calibration
