representation,regime,seed,delta_azimuth,delta_elevation,sun_elevation,transform_kind,fit_model,overlap_fraction,n_kp_src,n_kp_dst,n_putative,n_inliers,inlier_ratio,fit_rmse,coverage_max_gap,coverage_occupancy,coverage_entropy,true_inlier_precision,transform_error_median,transform_error_p90,is_wrong,flag_n_inliers_le_8,detect_describe_s,match_s,ransac_s,pipeline_s
B1_rootsift,A_mare_moderate,3001,0.0,0.0,45.0,affine,affine,1.0,32,28,22,22,1.0,0.46499914928850505,0.24567659198064076,0.25,0.6466106674837657,1.0,0.16547459850849944,0.3266906237738701,False,False,0.07442429999355227,0.00037420005537569523,0.03999600000679493,0.11479450005572289
B1_sift,A_mare_moderate,3001,0.0,0.0,45.0,affine,affine,1.0,32,28,22,22,1.0,0.46499914928850505,0.24567659198064076,0.25,0.6466106674837657,1.0,0.16547459850849944,0.3266906237738701,False,False,0.06329239998012781,0.00037519994657486677,0.041527300025336444,0.10519489995203912
A_orient_mod_pi,A_mare_moderate,3001,0.0,0.0,45.0,affine,affine,1.0,32,28,7,7,1.0,0.4704521753667269,0.3659989258982608,0.109375,0.4678924870096007,1.0,0.30255106091695516,0.6992977579197182,False,True,0.08114949997980148,0.0002677000593394041,0.04231179994530976,0.12372899998445064
A_orient_2pi_control,A_mare_moderate,3001,0.0,0.0,45.0,affine,affine,1.0,32,28,11,11,1.0,0.5024605800342875,0.2656313826847534,0.171875,0.5765719364395496,1.0,0.3487740684303825,0.5252637274854127,False,False,0.07662489998620003,0.0002782999072223902,0.04063619999215007,0.1175393998855725
B_phase_congruency,A_mare_moderate,3001,0.0,0.0,45.0,affine,affine,1.0,25,37,6,4,0.6666666666666666,5.684341886080802e-14,0.5412721419803792,0.046875,0.25,0.5,254.03422427542216,563.9468295506304,True,True,1.3425624000374228,0.00030449999030679464,0.06125499994959682,1.4041218999773264
C_rift2_mim,A_mare_moderate,3001,0.0,0.0,45.0,affine,affine,1.0,25,37,3,3,1.0,0.0,0.6536198949036733,0.046875,0.26416041678685936,0.3333333333333333,2054.975438010404,4648.648320163801,True,True,0.09137910010758787,0.0003394999075680971,0.041444200091063976,0.13316280010621995
B1_rootsift,A_mare_moderate,3001,15.0,0.0,45.0,affine,affine,1.0,32,25,17,17,1.0,1.1193406022359031,0.28363308477593707,0.203125,0.602812434326037,1.0,0.6141690759177281,1.4792403218741634,False,False,0.07602919999044389,0.0002454000059515238,0.04431210004258901,0.12058670003898442
B1_sift,A_mare_moderate,3001,15.0,0.0,45.0,affine,affine,1.0,32,25,16,16,1.0,1.1531546867532276,0.28363308477593707,0.1875,0.5833333333333334,1.0,0.6121701662170314,1.49113390174245,False,False,0.07041519996710122,0.0002709999680519104,0.05424399999901652,0.12493019993416965
A_orient_mod_pi,A_mare_moderate,3001,15.0,0.0,45.0,affine,affine,1.0,32,25,3,3,1.0,7.486032240573151e-14,0.6409689540740687,0.046875,0.26416041678685936,1.0,1.7885171370844553,3.9613404719657446,False,True,0.0799983999459073,0.00027409999165683985,0.05144579999614507,0.1317182999337092
A_orient_2pi_control,A_mare_moderate,3001,15.0,0.0,45.0,affine,affine,1.0,32,25,8,8,1.0,1.2503723899938277,0.28363308477593707,0.125,0.5,1.0,1.1214564817490946,2.494391669850031,False,True,0.08130249998066574,0.0002951999194920063,0.06496270000934601,0.14656039990950376
B_phase_congruency,A_mare_moderate,3001,15.0,0.0,45.0,affine,affine,1.0,25,26,2,0,0.0,nan,1.0,0.0,0.0,0.0,inf,inf,True,True,1.3719408999895677,0.00022449996322393417,3.4100026823580265e-05,1.3721994999796152
C_rift2_mim,A_mare_moderate,3001,15.0,0.0,45.0,affine,affine,1.0,25,26,1,0,0.0,nan,1.0,0.0,0.0,0.0,inf,inf,True,True,0.08932120003737509,0.00027189997490495443,0.00019139994401484728,0.0897844999562949
