representation,regime,seed,delta_azimuth,n_inliers_ab,n_inliers_bc,n_inliers_ca,loop_error_px,true_error_ab_px,true_error_bc_px,true_error_ca_px,n_edges_wrong,is_wrong,ab_edge_wrong,flag_n_inliers_le_8
B1_rootsift,A_mare_moderate,3001,0.0,21,18,18,0.10035598845916896,0.11879421471715745,0.1482300554714558,0.1976156530977311,0,False,False,False
A_orient_mod_pi,A_mare_moderate,3001,0.0,9,10,3,0.4873941577448581,0.3705633062195918,0.2045442310213929,0.7001244790176044,0,False,False,True
B1_rootsift,A_mare_moderate,3001,15.0,15,0,0,inf,0.3363512843664043,inf,inf,2,True,False,True
A_orient_mod_pi,A_mare_moderate,3001,15.0,5,0,0,inf,1.0142232492596082,inf,inf,2,True,False,True
B1_rootsift,A_mare_moderate,3001,24.0,12,0,0,inf,0.5786107132646584,inf,inf,2,True,False,True
A_orient_mod_pi,A_mare_moderate,3001,24.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_mare_moderate,3001,30.0,8,3,0,inf,1.7204759421681972,268.75582962870806,inf,2,True,False,True
A_orient_mod_pi,A_mare_moderate,3001,30.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_mare_moderate,3001,36.0,0,0,0,inf,inf,inf,inf,3,True,True,True
A_orient_mod_pi,A_mare_moderate,3001,36.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_mare_moderate,3001,45.0,0,0,0,inf,inf,inf,inf,3,True,True,True
A_orient_mod_pi,A_mare_moderate,3001,45.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_mare_moderate,3002,0.0,21,26,18,0.2649873545668408,0.06386000230441324,0.15113517872352422,0.1919588826014205,0,False,False,False
A_orient_mod_pi,A_mare_moderate,3002,0.0,9,17,12,0.25833434824192536,0.10632677600046603,0.2389926698204414,0.21608850928171502,0,False,False,False
B1_rootsift,A_mare_moderate,3002,15.0,11,9,0,inf,1.5824868859091703,1.4005612232755467,inf,1,True,False,True
A_orient_mod_pi,A_mare_moderate,3002,15.0,4,3,0,inf,2.058325966518427,7.698701766776118,inf,2,True,False,True
B1_rootsift,A_mare_moderate,3002,24.0,0,4,0,inf,inf,0.8222197354880882,inf,2,True,True,True
A_orient_mod_pi,A_mare_moderate,3002,24.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_mare_moderate,3002,30.0,0,3,0,inf,inf,288.7253111456737,inf,3,True,True,True
A_orient_mod_pi,A_mare_moderate,3002,30.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_mare_moderate,3002,36.0,3,3,0,inf,2.0164904254806473,60.22392887790624,inf,2,True,False,True
A_orient_mod_pi,A_mare_moderate,3002,36.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_mare_moderate,3002,45.0,0,0,0,inf,inf,inf,inf,3,True,True,True
A_orient_mod_pi,A_mare_moderate,3002,45.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_mare_moderate,3003,0.0,16,16,14,0.18557656600838857,0.16000554337380468,0.3089153839332274,0.3343616367278506,0,False,False,False
A_orient_mod_pi,A_mare_moderate,3003,0.0,10,8,7,0.33073909477027086,0.09063248662368054,0.31267736483245867,0.3024256608189545,0,False,False,True
B1_rootsift,A_mare_moderate,3003,15.0,5,7,0,inf,0.44943869672760806,0.3634706341852659,inf,1,True,False,True
A_orient_mod_pi,A_mare_moderate,3003,15.0,3,0,0,inf,0.7253528875353585,inf,inf,2,True,False,True
B1_rootsift,A_mare_moderate,3003,24.0,12,21,0,inf,0.3772003393987902,0.6263307192650023,inf,1,True,False,True
A_orient_mod_pi,A_mare_moderate,3003,24.0,5,0,0,inf,0.48754097307221694,inf,inf,2,True,False,True
B1_rootsift,A_mare_moderate,3003,30.0,0,4,0,inf,inf,8.135363217250386,inf,3,True,True,True
A_orient_mod_pi,A_mare_moderate,3003,30.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_mare_moderate,3003,36.0,0,0,0,inf,inf,inf,inf,3,True,True,True
A_orient_mod_pi,A_mare_moderate,3003,36.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_mare_moderate,3003,45.0,0,0,0,inf,inf,inf,inf,3,True,True,True
A_orient_mod_pi,A_mare_moderate,3003,45.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_highlands_moderate,3001,0.0,990,1084,693,0.7560200696212599,0.04344962474985693,0.6376372066522411,0.17691581104594878,0,False,False,False
A_orient_mod_pi,A_highlands_moderate,3001,0.0,668,772,37,0.15489887561869953,0.054508100529859535,0.03694061252701271,0.13425114967530194,0,False,False,False
B1_rootsift,A_highlands_moderate,3001,15.0,401,212,3,403.2373121207845,0.8423153715876772,0.6116273888843868,369.4000474607282,1,True,False,True
A_orient_mod_pi,A_highlands_moderate,3001,15.0,214,68,0,inf,0.04832377109547013,0.2286814147962559,inf,1,True,False,True
B1_rootsift,A_highlands_moderate,3001,24.0,411,60,3,5224.860240106325,0.06265945636030915,0.19886698353746812,5164.426000610596,1,True,False,True
A_orient_mod_pi,A_highlands_moderate,3001,24.0,72,19,0,inf,0.09618987976638371,0.4394730419043985,inf,1,True,False,True
B1_rootsift,A_highlands_moderate,3001,30.0,153,144,3,5092.774482465646,0.489819002636538,0.7636295428726518,5168.599052229395,1,True,False,True
A_orient_mod_pi,A_highlands_moderate,3001,30.0,8,13,0,inf,0.8308196305069011,0.6941850120932616,inf,1,True,False,True
B1_rootsift,A_highlands_moderate,3001,36.0,3,5,3,39753.74456496739,6145.520130522311,1.1940091356828582,856.2878941083333,2,True,True,True
A_orient_mod_pi,A_highlands_moderate,3001,36.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_highlands_moderate,3001,45.0,3,3,3,298.06700439169913,243.058835077166,242.86680592090377,206.5187478335939,3,True,True,True
A_orient_mod_pi,A_highlands_moderate,3001,45.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_highlands_moderate,3002,0.0,1164,1309,1141,0.011172535083592061,0.01681226186245724,0.028764422735061114,0.047317010935868875,0,False,False,False
A_orient_mod_pi,A_highlands_moderate,3002,0.0,794,906,797,0.011875118623106001,0.019317825781784807,0.030346369192929126,0.043825093273733184,0,False,False,False
B1_rootsift,A_highlands_moderate,3002,15.0,621,403,8,0.7682372728439548,0.03568571142150409,0.3692734134412111,0.6318525589329702,0,False,False,True
A_orient_mod_pi,A_highlands_moderate,3002,15.0,440,226,0,inf,0.045786972439255676,0.42768498396162713,inf,1,True,False,True
B1_rootsift,A_highlands_moderate,3002,24.0,23,114,3,819.6319088031363,0.15631498577387967,0.12566120822699842,832.2129982726908,1,True,False,True
A_orient_mod_pi,A_highlands_moderate,3002,24.0,0,16,0,inf,inf,0.22693762035030074,inf,2,True,True,True
B1_rootsift,A_highlands_moderate,3002,30.0,3,4,0,inf,439.6771246848765,4.807905841419462,inf,3,True,True,True
A_orient_mod_pi,A_highlands_moderate,3002,30.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_highlands_moderate,3002,36.0,3,47,3,8085.476115620984,198.6554113774514,0.16224031123366478,8224.991144107442,2,True,True,True
A_orient_mod_pi,A_highlands_moderate,3002,36.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_highlands_moderate,3002,45.0,3,3,4,20171.019714840684,344.2166076612674,4762.1682878895335,339.307762591234,3,True,True,True
A_orient_mod_pi,A_highlands_moderate,3002,45.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_highlands_moderate,3003,0.0,1223,1059,1031,0.4364202013666789,0.03643679140037219,0.47136318876235683,0.29674955140265624,0,False,False,False
A_orient_mod_pi,A_highlands_moderate,3003,0.0,851,735,693,0.009622279906000265,0.037722642490646816,0.05883885981638149,0.046737336351276075,0,False,False,False
B1_rootsift,A_highlands_moderate,3003,15.0,173,559,3,1916.6001377622365,0.1520336644335623,0.06033330336201143,1917.561257597531,1,True,False,True
A_orient_mod_pi,A_highlands_moderate,3003,15.0,32,403,0,inf,0.2187896079568775,0.05422583882609065,inf,1,True,False,True
B1_rootsift,A_highlands_moderate,3003,24.0,540,617,13,0.3902324765585333,0.06721195269988092,0.06666353970112443,0.45234748328900454,0,False,False,False
A_orient_mod_pi,A_highlands_moderate,3003,24.0,96,79,0,inf,0.09318467907670988,0.06271740170006601,inf,1,True,False,True
B1_rootsift,A_highlands_moderate,3003,30.0,4,91,4,448.19999323496756,136.74708144190993,0.6575975869713042,593.4899806331067,2,True,True,True
A_orient_mod_pi,A_highlands_moderate,3003,30.0,0,0,0,inf,inf,inf,inf,3,True,True,True
B1_rootsift,A_highlands_moderate,3003,36.0,12,3,4,324.72477749477594,1.140059031418001,85.51292841819945,243.40185229991275,2,True,False,True
