arm,arm_wall_s,coverage_max_uncovered_disc_ratio,coverage_occupancy,decimation,delta_incidence_deg,edge,exploratory,fit_rmse_is_not_accuracy,fit_rmse_px,gsd_m,inlier_ratio,label,n_inliers,n_inliers_failure_flag,n_keypoints_dst,n_keypoints_src,n_putative,pass,recorded_n_inliers,reproduces_recorded,shape,target,tier,wall_s
none,23.22908279998228,0.4767323675870726,0.046875,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,4.1382633578908315e-13,1.845,0.125,A -> B,4,True,12420,9538,32,False,4,True,"[2048, 1024]",REAL-DATA-03,tier1,8.166567299922463
photometric_ls,28.819633800012525,0.4767323675870726,0.046875,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,4.1382633578908315e-13,1.845,0.125,A -> B,4,True,12420,9532,32,False,,,"[2048, 1024]",REAL-DATA-03,tier1,12.475111399951857
photometric_hapke,26.144691800000146,0.4767323675870726,0.046875,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,4.1382633578908315e-13,1.845,0.125,A -> B,4,True,12420,9541,32,False,,,"[2048, 1024]",REAL-DATA-03,tier1,10.933658799971454
dem_render_b1,21.72018460003892,,,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,1.845,,A -> B,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-03,tier1,
dem_render_lg,89.92636579996906,,,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,1.845,,A -> B,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-03,tier1,
learned_lg,63.90804670000216,0.4210280216704564,0.140625,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,1.610826079273573,1.845,0.8260869565217391,A -> B,38,False,4096,4096,46,True,,,"[2048, 1024]",REAL-DATA-03,tier1,49.26096480002161
photometric_ls_pixel,22.716546299983747,0.5253888098249313,0.046875,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,True,True,0.44807860781599707,1.845,0.16216216216216217,A -> B,6,True,10245,9762,37,False,,,"[2048, 1024]",REAL-DATA-03,tier1,6.577545200008899
none,23.2702711999882,0.10758155745250321,0.875,2,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.5829079860626339,1.77,0.9949925816023739,B -> C,5365,False,11477,12420,5392,True,5365,True,"[2048, 1024]",REAL-DATA-03,tier1,6.386196800041944
photometric_ls,24.116773799993098,0.10758155745250321,0.875,2,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.5829079860626339,1.77,0.9949925816023739,B -> C,5365,False,11477,12420,5392,True,,,"[2048, 1024]",REAL-DATA-03,tier1,7.385315300023649
photometric_hapke,20.927003199991304,0.10758155745250321,0.875,2,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.5829079860626339,1.77,0.9949925816023739,B -> C,5365,False,11477,12420,5392,True,,,"[2048, 1024]",REAL-DATA-03,tier1,4.35667570005171
