arm,arm_wall_s,coverage_max_uncovered_disc_ratio,coverage_occupancy,decimation,delta_incidence_deg,edge,exploratory,fit_rmse_is_not_accuracy,fit_rmse_px,gsd_m,inlier_ratio,label,n_inliers,n_inliers_failure_flag,n_keypoints_dst,n_keypoints_src,n_putative,pass,recorded_n_inliers,reproduces_recorded,shape,target,tier,wall_s
none,12.179339699971024,0.4767323675870726,0.046875,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,4.1382633578908315e-13,1.845,0.125,A -> B,4,True,12420,9538,32,False,4,True,"[2048, 1024]",REAL-DATA-03,tier1,4.520635000022594
photometric_ls,11.58751670003403,0.4767323675870726,0.046875,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,4.1382633578908315e-13,1.845,0.125,A -> B,4,True,12420,9532,32,False,,,"[2048, 1024]",REAL-DATA-03,tier1,4.188960000057705
photometric_hapke,11.683455399994273,0.4767323675870726,0.046875,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,4.1382633578908315e-13,1.845,0.125,A -> B,4,True,12420,9541,32,False,,,"[2048, 1024]",REAL-DATA-03,tier1,4.26080080011161
dem_render_b1,12.2168687999947,,,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,1.845,,A -> B,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-03,tier1,
dem_render_lg,54.50566720002098,,,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,1.845,,A -> B,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-03,tier1,
learned_lg,36.96585989999585,0.4210280216704564,0.140625,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,1.610826079273573,1.845,0.8260869565217391,A -> B,38,False,4096,4096,46,True,,,"[2048, 1024]",REAL-DATA-03,tier1,29.956731499987654
photometric_ls_pixel,10.930277599953115,0.5253888098249313,0.046875,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,True,True,0.44807860781599707,1.845,0.16216216216216217,A -> B,6,True,10245,9762,37,False,,,"[2048, 1024]",REAL-DATA-03,tier1,2.9385692999931052
none,11.495218399970327,0.10758155745250321,0.875,2,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.5829079860626339,1.77,0.9949925816023739,B -> C,5365,False,11477,12420,5392,True,5365,True,"[2048, 1024]",REAL-DATA-03,tier1,3.0558344000019133
photometric_ls,11.422585000051185,0.10758155745250321,0.875,2,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.5829079860626339,1.77,0.9949925816023739,B -> C,5365,False,11477,12420,5392,True,,,"[2048, 1024]",REAL-DATA-03,tier1,3.0507511000032537
photometric_hapke,11.370362300018314,0.10758155745250321,0.875,2,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.5829079860626339,1.77,0.9949925816023739,B -> C,5365,False,11477,12420,5392,True,,,"[2048, 1024]",REAL-DATA-03,tier1,2.997935299994424
dem_render_b1,9.060535299999174,,,2,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,,,1.77,,B -> C,3,True,,,,False,,,"[2048, 1024]",REAL-DATA-03,tier1,
dem_render_lg,54.1256713999901,,,2,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,,,1.77,,B -> C,3,True,,,,False,,,"[2048, 1024]",REAL-DATA-03,tier1,
learned_lg,33.76094289997127,0.1419970232154561,0.8125,2,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.9750689390629933,1.77,0.9922513990529488,B -> C,2305,False,4096,4096,2323,True,,,"[2048, 1024]",REAL-DATA-03,tier1,26.344632000022102
photometric_ls_pixel,10.27884509996511,0.10758155745250321,0.875,2,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,True,True,0.3427608166453016,1.77,0.9809296781883194,B -> C,2469,False,9752,10245,2517,True,,,"[2048, 1024]",REAL-DATA-03,tier1,2.248503799957689
none,22.40080589998979,0.44060894010238205,0.046875,2,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,0.8850864772888422,1.785,0.08163265306122448,C -> A,4,True,9538,11477,49,False,4,True,"[2048, 1024]",REAL-DATA-03,tier1,10.112461999990046
photometric_ls,24.27449860004708,0.44060894010238205,0.046875,2,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,0.8851565951005986,1.785,0.08163265306122448,C -> A,4,True,9532,11477,49,False,,,"[2048, 1024]",REAL-DATA-03,tier1,11.788277000072412
photometric_hapke,23.28416079998715,0.4902966220441362,0.046875,2,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,1.0596017492427097,1.785,0.08,C -> A,4,True,9541,11477,50,False,,,"[2048, 1024]",REAL-DATA-03,tier1,11.69192449998809
