arm,arm_wall_s,coverage_max_uncovered_disc_ratio,coverage_occupancy,decimation,delta_incidence_deg,edge,exploratory,fit_rmse_is_not_accuracy,fit_rmse_px,gsd_m,inlier_ratio,label,n_inliers,n_inliers_failure_flag,n_keypoints_dst,n_keypoints_src,n_putative,pass,recorded_n_inliers,reproduces_recorded,shape,target,tier,wall_s
none,11.986340100003872,0.4767323675870726,0.046875,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,4.1382633578908315e-13,1.845,0.125,A -> B,4,True,12420,9538,32,False,4,True,"[2048, 1024]",REAL-DATA-03,tier1,4.440797099960037
dem_render_b1,12.292842699971516,,,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,1.845,,A -> B,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-03,tier1,
none,11.647458599996753,0.10758155745250321,0.875,2,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,True,0.5829079860626339,1.77,0.9949925816023739,B -> C,5365,False,11477,12420,5392,True,5365,True,"[2048, 1024]",REAL-DATA-03,tier1,3.057217800116632
dem_render_b1,8.821307999955025,,,2,0.960000000000008,nac.m1335207975rc -> nac.m1452560468lc,False,,,1.77,,B -> C,3,True,,,,False,,,"[2048, 1024]",REAL-DATA-03,tier1,
none,13.836989299976267,0.44060894010238205,0.046875,2,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,True,0.8850864772888422,1.785,0.08163265306122448,C -> A,4,True,9538,11477,49,False,4,True,"[2048, 1024]",REAL-DATA-03,tier1,6.671931200078689
dem_render_b1,1.4470977000310086,,,2,38.849999999999994,nac.m1452560468lc -> nac.m1271742202lc,False,,,1.785,,C -> A,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-03,tier1,
none,11.174176000000443,0.46042617626927473,0.0625,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,True,1.1053335547230574,1.845,0.14,A -> B,7,True,11633,10794,50,False,7,True,"[2048, 1024]",REAL-DATA-04,tier1,3.7551624000188895
dem_render_b1,8.915288900025189,,,2,39.81,nac.m1271742202lc -> nac.m1335207975rc,False,,,1.845,,A -> B,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
none,13.356502000009641,0.42682484813887006,0.046875,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,False,True,1.8852829216231156e-13,1.985,0.10344827586206896,B -> D,3,True,12593,11633,29,False,3,True,"[2048, 1024]",REAL-DATA-04,tier1,5.786670100002084
dem_render_b1,3.2932575999875553,,,2,51.540000000000006,nac.m1335207975rc -> nac.m1299958135lc,False,,,1.985,,B -> D,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
none,11.2060811999836,0.10334689225690416,1.0,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,False,True,0.8779232510137617,2.0,0.9414440022740194,D -> A,1656,False,10794,12593,1759,True,1656,True,"[2048, 1024]",REAL-DATA-04,tier1,3.418178599968087
dem_render_b1,1.292360599967651,,,2,11.73,nac.m1299958135lc -> nac.m1271742202lc,False,,,2.0,,D -> A,0,True,,,,False,,,"[2048, 1024]",REAL-DATA-04,tier1,
