"# a registered product; no ground truth exists for it; corroborated, not verified; class B."
# edge: nac.m1299958135lc -> nac.m1271742202lc  (source -> reference)
"# transform: read from experiments/REAL-DATA-04/loop_closure_real_data_04.json, model affine, NOT re-estimated here"
# points: read from src/siim/demo/assets/real_data_04.json (certified against the artefact)
"# src/dst line,sample are FULL-FRAME 0-based pixel coordinates (decimation 2x undone)"
"# ground lon/lat: FrameCorners.lonlat_at on each product's own named archive corners, east-positive degrees"
"# residual_px: ||T(src) - dst|| in DECIMATED reference pixels. A FIT residual, not an accuracy (D-003)"
index,is_inlier,residual_px,src_line,src_sample,src_lon_deg,src_lat_deg,dst_line,dst_sample,dst_lon_deg,dst_lat_deg,src_tile_x,src_tile_y,dst_tile_x,dst_tile_y
0,0,498.537847,45271.500,1733.880,22.04895899,19.69184322,9043.580,2684.020,22.01769424,19.68449908,20.1900,1404.0000,408.7600,1315.0400
1,0,1068.964841,46150.220,1857.820,22.04632703,19.72388973,9553.240,3876.760,21.98246543,19.70315291,82.1600,1843.3600,1005.1300,1569.8700
2,1,0.428469,43271.420,1893.720,22.03836479,19.61977412,6951.840,1896.540,22.03745750,19.61605354,100.1100,403.9600,15.0200,269.1700
3,1,0.250257,43387.440,1893.900,22.03862463,19.62397335,7082.460,1895.720,22.03773863,19.62022892,100.2000,461.9700,14.6100,334.4800
4,1,0.760109,43262.680,1897.640,22.03819760,19.61946556,6942.040,1899.000,22.03736409,19.61574501,102.0700,399.5900,16.2500,264.2700
5,1,0.731707,43280.160,1897.780,22.03823251,19.62009845,6962.180,1899.340,22.03739337,19.61638972,102.1400,408.3300,16.4200,274.3400
6,1,0.185434,45673.740,1898.580,22.04370255,19.70672597,9676.000,1893.360,22.04290128,19.70316112,102.5400,1605.1200,13.4300,1631.2500
7,1,0.334197,45541.120,1901.260,22.04329724,19.70193162,9524.600,1896.780,22.04250027,19.69832637,103.8800,1538.8100,15.1400,1555.5500
8,1,0.108339,42857.380,1901.720,22.03711317,19.60480542,6481.800,1906.380,22.03623851,19.60104192,104.1100,196.9400,19.9400,34.1500
9,1,0.735885,43270.960,1905.100,22.03793667,19.61977995,6951.220,1910.540,22.03703415,19.61606136,105.8000,403.7300,22.0200,268.8600
10,1,0.676735,43278.860,1906.780,22.03789178,19.62006918,6959.780,1912.380,22.03699546,19.61633873,106.6400,407.6800,22.9400,273.1400
11,1,0.959508,43215.440,1911.880,22.03755466,19.61778402,6888.280,1919.100,22.03665261,19.61406556,109.1900,375.9700,26.3000,237.3900
12,1,0.959508,43215.440,1911.880,22.03755466,19.61778402,6888.280,1919.100,22.03665261,19.61406556,109.1900,375.9700,26.3000,237.3900
13,1,0.959508,43215.440,1911.880,22.03755466,19.61778402,6888.280,1919.100,22.03665261,19.61406556,109.1900,375.9700,26.3000,237.3900
14,1,0.696664,43235.580,1913.980,22.03752213,19.61851706,6911.740,1920.660,22.03665158,19.61481885,110.2400,386.0400,27.0800,249.1200
15,1,0.356081,43113.620,1917.580,22.03710679,19.61411032,6771.920,1923.920,22.03627913,19.61035409,112.0400,325.0600,28.7100,179.2100
16,1,0.307863,44585.560,1918.820,22.04044254,19.66738368,8441.440,1921.140,22.03963690,19.66373692,112.6600,1061.0300,27.3200,1013.9700
17,1,0.589936,46159.480,1919.820,22.04402162,19.72434731,10225.880,1917.340,22.04325177,19.72079268,113.1600,1847.9900,25.4200,1906.1900
18,1,0.603543,44266.420,1919.840,22.03967093,19.65583571,8078.920,1922.140,22.03889575,19.65214615,113.1700,901.4600,27.8200,832.7100
19,1,0.603543,44266.420,1919.840,22.03967093,19.65583571,8078.920,1922.140,22.03889575,19.65214615,113.1700,901.4600,27.8200,832.7100
20,1,0.380687,45149.420,1919.900,22.04169767,19.68779244,9081.800,1919.500,22.04094238,19.68421128,113.2000,1342.9600,26.5000,1334.1500
21,1,0.288177,46323.660,1923.380,22.04426529,19.73029617,10412.520,1920.500,22.04352172,19.72676734,114.9400,1930.0800,27.0000,1999.5100
22,1,0.283117,43201.180,1923.720,22.03707757,19.61729133,6871.760,1930.520,22.03627593,19.61355984,115.1100,368.8400,32.0100,229.1300
23,1,1.293586,46333.780,1923.960,22.04426678,19.73066357,10422.740,1922.720,22.04347424,19.72709855,115.2300,1935.1400,28.1100,2004.6200
24,1,0.290179,46108.740,1924.280,22.04373766,19.72251979,10169.480,1921.360,22.04301896,19.71899705,115.3900,1822.6200,27.4300,1877.9900
25,1,0.095120,43425.080,1928.900,22.03739767,19.62540471,7126.000,1936.440,22.03659575,19.62170168,117.7000,480.7900,34.9700,356.2500
26,1,0.778192,43103.920,1930.940,22.03658314,19.61378565,6761.540,1941.380,22.03573257,19.61005664,118.7200,320.2100,37.4400,174.0200
27,1,0.802177,43319.880,1934.120,22.03696005,19.62160773,7006.940,1941.240,22.03621765,19.61790383,120.3100,428.1900,37.3700,296.7200
28,1,0.428383,46146.460,1934.600,22.04343706,19.72390530,10212.440,1933.020,22.04274875,19.72039386,120.5500,1841.4800,33.2600,1899.4700
29,1,0.628093,45966.660,1934.980,22.04300964,19.71739891,10006.800,1934.440,22.04230252,19.71382066,120.7400,1751.5800,33.9700,1796.6500
30,1,0.140360,44563.120,1936.400,22.03973125,19.66660627,8416.140,1941.140,22.03898202,19.66296738,121.4500,1049.8100,37.3200,1001.3200
31,1,0.093856,45291.240,1939.560,22.04128576,19.69296387,9242.280,1942.500,22.04055962,19.68938857,123.0300,1413.8700,38.0000,1414.3900
32,1,0.326660,44515.460,1939.840,22.03949264,19.66488821,8362.200,1944.760,22.03876679,19.66124962,123.1700,1025.9800,39.1300,974.3500
33,0,3.216114,45815.420,1941.880,22.04240318,19.71193902,9835.900,1949.720,22.04150349,19.70838576,124.1900,1675.9600,41.6100,1711.2000
34,1,1.099238,45024.060,1945.000,22.04046768,19.68330512,8937.280,1948.540,22.03977897,19.67964714,125.7500,1280.2800,41.0200,1261.8900
35,1,1.677218,43203.640,1946.300,22.03623586,19.61742495,6878.080,1958.200,22.03545385,19.61381661,126.4000,370.0700,45.8500,232.2900
36,1,0.956881,45692.640,1946.580,22.04194468,19.70750478,9697.620,1951.120,22.04119011,19.70396657,126.5400,1614.5700,42.3100,1642.0600
37,1,0.393284,44277.500,1946.660,22.03868991,19.65628968,8091.800,1954.280,22.03794913,19.65262151,126.5800,907.0000,43.8900,839.1500
38,1,0.471796,45936.460,1947.340,22.04247641,19.71633036,9973.280,1948.520,22.04180906,19.71277656,126.9200,1736.4800,41.0100,1779.8900
39,1,0.381273,45102.660,1947.580,22.04055147,19.68615482,9028.680,1953.080,22.03982041,19.68257892,127.0400,1319.5800,43.2900,1307.5900
40,1,0.160390,46152.120,1947.700,22.04295846,19.72413601,10218.440,1949.280,22.04226621,19.72061785,127.1000,1844.3100,41.3900,1902.4700
41,1,0.064413,43777.200,1948.180,22.03748326,19.63818635,7525.320,1957.540,22.03674123,19.63451291,127.3400,656.8500,45.5200,555.9100
42,1,0.320951,45201.900,1949.420,22.04071046,19.68975004,9140.820,1954.860,22.03998608,19.68616847,127.9600,1369.2000,44.1800,1363.6600
43,1,0.320951,45201.900,1949.420,22.04071046,19.68975004,9140.820,1954.860,22.03998608,19.68616847,127.9600,1369.2000,44.1800,1363.6600
44,1,0.757363,45147.440,1950.100,22.04055980,19.68778043,9078.640,1956.640,22.03981035,19.68418358,128.3000,1341.9700,45.0700,1332.5700
45,1,0.871525,45862.960,1952.040,22.04213114,19.71367961,9890.920,1953.320,22.04150192,19.71015231,129.2700,1699.7300,43.4100,1738.7100
46,1,0.645771,46134.440,1952.360,22.04274295,19.72350536,10197.320,1953.720,22.04208987,19.71995124,129.4300,1835.4700,43.6100,1891.9100
47,1,2.186537,45422.220,1953.700,22.04105610,19.69773209,9389.440,1962.640,22.04023698,19.69413427,130.1000,1479.3600,48.0700,1487.9700
48,1,0.189256,45008.660,1954.920,22.04006002,19.68276737,8922.080,1961.500,22.03935648,19.67918666,130.7100,1272.5800,47.5000,1254.2900
49,1,0.381463,46306.040,1958.020,22.04292486,19.72972691,10392.280,1960.720,22.04225883,19.72619954,132.2600,1921.2700,47.1100,1989.3900
