coverage_max_uncovered_disc_ratio,coverage_occupancy,delta_incidence_deg,dst_incidence_deg,edge,engine,fit_rmse_is_not_accuracy,fit_rmse_px,inlier_ratio,n_inliers,n_inliers_failure_flag,n_keypoints_dst,n_keypoints_src,n_putative,pass,recorded_n_inliers,reproduces_recorded,same_orbit_pair,src_incidence_deg,success,wall_s,window,wrong_pass
0.03805337149361736,1.0,13.790000000000003,43.74,nac.m1271742202lc -> nac.m1182331886lc,b1,True,1.1974906122115836,0.9566724436741768,1656,False,10894,9506,1731,True,,,False,29.95,True,28.37534880003659,RD03,False
0.19493567163723563,0.828125,13.790000000000003,43.74,nac.m1271742202lc -> nac.m1182331886lc,lg,True,0.8551164056720568,0.9751131221719457,1724,False,4096,4096,1768,True,,,False,29.95,True,85.46423879999202,RD03,False
0.0470374788234074,1.0,15.529999999999998,45.48,nac.m1271742202lc -> nac.m1212932972lc,b1,True,1.0620296191785843,0.9487179487179487,1406,False,10310,9506,1482,True,,,False,29.95,True,22.547715199994855,RD03,False
0.16347667917409217,0.859375,15.529999999999998,45.48,nac.m1271742202lc -> nac.m1212932972lc,lg,True,0.876142133404137,0.9775179856115108,2174,False,4096,4096,2224,True,,,False,29.95,True,64.69898450002074,RD03,False
0.29903262253202223,0.09375,38.849999999999994,68.8,nac.m1271742202lc -> nac.m1452560468lc,b1,True,1.1013726105450985,0.16326530612244897,8,True,11477,9538,49,False,4,False,False,29.95,False,33.62895949999802,RD03,False
0.31070775117564253,0.078125,38.849999999999994,68.8,nac.m1271742202lc -> nac.m1452560468lc,b1,True,0.4102872550296255,0.10526315789473684,6,True,11433,9506,57,False,,,False,29.95,False,34.99204979999922,RD03,False
,,38.849999999999994,68.8,nac.m1271742202lc -> nac.m1452560468lc,lg,True,nan,0.0,0,True,4096,4096,2,False,,,False,29.95,False,115.6193229999626,RD03,False
0.4767323675870726,0.046875,39.81,69.76,nac.m1271742202lc -> nac.m1335207975rc,b1,True,4.1382633578908315e-13,0.125,4,True,12420,9538,32,False,4,True,False,29.95,False,28.78857049997896,RD03,False
0.4765084658147891,0.046875,39.81,69.76,nac.m1271742202lc -> nac.m1335207975rc,b1,True,2.366580246719119e-13,0.12,3,True,12471,9506,25,False,,,False,29.95,False,27.623317699995823,RD03,False
,,39.81,69.76,nac.m1271742202lc -> nac.m1335207975rc,lg,True,nan,0.0,0,True,4096,4096,2,False,,,False,29.95,False,47.30644509999547,RD03,False
0.48534782914811625,0.046875,44.7,74.65,nac.m1271742202lc -> nac.m1142297886lc,b1,True,9.165725883006586e-13,0.12121212121212122,4,True,13923,9506,33,False,,,False,29.95,False,26.29606620001141,RD03,False
,,44.7,74.65,nac.m1271742202lc -> nac.m1142297886lc,lg,True,nan,0.0,0,True,4096,4096,1,False,,,False,29.95,False,63.75978419999592,RD03,False
0.0675961861702687,1.0,1.7399999999999949,45.48,nac.m1182331886lc -> nac.m1212932972lc,b1,True,1.0343906151321065,0.9948764867337603,5437,False,10310,10894,5465,True,,,False,43.74,True,23.670143100025598,RD03,False
0.13548339764560696,0.859375,1.7399999999999949,45.48,nac.m1182331886lc -> nac.m1212932972lc,lg,True,1.4436268570040338,0.9959709911361805,2472,False,4096,4096,2482,True,,,False,43.74,True,58.57632809999632,RD03,False
0.3362113368839849,0.0625,23.139999999999993,66.88,nac.m1182331886lc -> nac.m1199981485rc,b1,True,0.3451682109661878,0.09259259259259259,5,True,11869,10894,54,False,,,False,43.74,False,39.06335349997971,RD03,False
,,23.139999999999993,66.88,nac.m1182331886lc -> nac.m1199981485rc,lg,True,nan,0.0,0,True,4096,4096,0,False,,,False,43.74,False,52.984207100002095,RD03,False
0.18923402682059662,0.4375,26.020000000000003,69.76,nac.m1182331886lc -> nac.m1335207975rc,b1,True,0.9140007728774865,0.5666666666666667,68,False,12471,10894,120,True,,,False,43.74,True,21.329251300019678,RD03,False
0.23340334069117516,0.578125,26.020000000000003,69.76,nac.m1182331886lc -> nac.m1335207975rc,lg,True,1.164521775331621,0.7395470383275261,849,False,4096,4096,1148,True,,,False,43.74,True,61.99785059998976,RD03,False
0.33692991357639596,0.046875,28.550000000000004,72.29,nac.m1182331886lc -> nac.m1096350825rc,b1,True,7.3090410607263e-13,0.07317073170731707,3,True,12825,10894,41,False,,,False,43.74,False,30.607793000002857,RD03,False
,,28.550000000000004,72.29,nac.m1182331886lc -> nac.m1096350825rc,lg,True,nan,0.0,0,True,4096,4096,1,False,,,False,43.74,False,48.92392579995794,RD03,False
0.40435749281375866,0.046875,30.910000000000004,74.65,nac.m1182331886lc -> nac.m1142297886lc,b1,True,1.2710574864626038e-13,0.10526315789473684,4,True,13923,10894,38,False,,,False,43.74,False,28.160800800018478,RD03,False
,,30.910000000000004,74.65,nac.m1182331886lc -> nac.m1142297886lc,lg,True,nan,0.0,0,True,4096,4096,0,False,,,False,43.74,False,50.51808179996442,RD03,False
0.05346178005144919,1.0,4.030000000000001,48.47,nac.m1236465772rc -> nac.m1175268993rc,b1,True,0.6185002553661478,0.9936893203883496,8188,False,18699,14722,8240,True,,,False,44.44,True,34.563254399981815,RD03,False
0.13403049042393766,0.90625,4.030000000000001,48.47,nac.m1236465772rc -> nac.m1175268993rc,lg,True,0.5958005046939062,0.9980582524271845,2570,False,4096,4096,2575,True,,,False,44.44,True,63.82798639999237,RD03,False
0.4618190804829793,0.046875,22.439999999999998,66.88,nac.m1236465772rc -> nac.m1199981485rc,b1,True,0.7783430574976292,0.05194805194805195,4,True,11869,14722,77,False,,,False,44.44,False,28.511017200013157,RD03,False
0.5470523219774841,0.046875,22.439999999999998,66.88,nac.m1236465772rc -> nac.m1199981485rc,lg,True,3.2029639867188973e-13,0.6,3,True,4096,4096,5,False,,,False,44.44,False,68.70809450000525,RD03,False
0.182348042807759,0.6875,6.920000000000002,52.4,nac.m1212932972lc -> nac.m1363396554rc,b1,True,0.6638992622601747,0.9844676645015532,3486,False,10363,10310,3541,True,,,False,45.48,True,19.550394799967762,RD03,False
0.2089501468757429,0.5625,6.920000000000002,52.4,nac.m1212932972lc -> nac.m1363396554rc,lg,True,1.1674991498692266,0.9890764647467726,1992,False,4096,4096,2014,True,,,False,45.48,True,68.05010620004032,RD03,False
